2048,2080152,1958577,1916998,2361604,2171996,2139680,1638535,1326616,1407747,1356620,1569587,1605566,1761900,1321785,1362732,1394644,1411400,1416244,1359943,1354954,1248034,1467066,1470035,1523495,1802834,1515004,1369272,1409649,1454287,1575840,1247451,1243888,1322009,1397580,1244105,1365560,1524108,1236364,1254827,1320598,1302227,1298053,1158883,1117262,1112587,1153441,1334400,1386896,1215016,1229613,1224253,1079719,1150054,1159921,1118109,1125087,1008771,1007918,1009183,1011402,1092445,1248832,1316515,1510885,1466754,1320850,1245476,1092780,1165389,1218587,985241,1016013,966248,994810,1161209,1105096,1028556,1474472,1161629,945642,986336,1016239,1011601,1044207,924937,924944,924731,920810,920623,907417,994326,1301818,1184383,1203793,1391886,1050454,928263,988980,1041106,1061290
4096,936870,880713,887257,879037,863171,853519,1019958,1175249,1096455,1088686,1311775,976272,931014,1008661,1102993,1006699,1018197,918557,851150,901812,848862,866097,873991,1089566,1050643,1141011,1188933,977180,897289,1095194,1109645,1012971,1034519,1053542,1013787,905634,1399339,898483,966390,1226075,1008297,994759,1377783,1031417,1001731,934299,1006120,1019411,982738,873746,837158,819995,871469,834410,818929,892981,1130518,1013191,973067,1113968,970316,1005332,886956,1001895,982430,1028698,1093344,968265,951925,899471,912688,908387,931761,1153797,1027620,965454,991563,981082,902883,1004251,1039213,953598,1081272,849066,845613,866533,870145,826921,831687,879066,1013114,1271882,1161288,1172873,914181,979289,895568,1006377,1048042,1041230
8192,1250772,1465378,991110,945242,1038609,1465151,1731270,1227964,1212679,979276,941457,1086309,1121959,1130229,1121812,875153,875949,889593,823368,837171,904557,1433531,1400035,1194838,988490,969537,1000611,1299241,1161751,1523296,1692680,1495916,1479678,1713242,1776485,1737858,1832849,1665233,1940213,1702256,1649594,1175064,929042,991938,1466230,1534495,1412920,1275332,1087655,1676144,1428637,1240540,1420245,1391288,997810,999871,988566,1417318,1384280,1059106,1735220,1544495,1156276,1108311,1217683,974151,1259420,1129070,933712,901023,934279,1925475,1483751,1534812,1233940,1147940,1279983,1216950,1181021,1034919,903618,970222,867188,866380,844616,1475375,1163425,1689954,1417933,1044142,1024917,1245607,1239855,1015314,919388,955497,899611,1153247,1775415,2336041
16384,2934016,2595263,3951241,2758787,2237878,2447853,2195164,2053446,2702830,2275964,1726170,1950581,3326764,2188271,2685038,3774231,2541882,1928726,2557332,1855536,2775394,2146075,2732368,1728510,1804726,2052771,3505588,2442200,3030483,3461890,2466220,1939075,2498403,1987525,1790372,2681492,2448162,1767435,1760746,2250767,2417549,2279039,2468067,2809791,2394545,1948409,2187754,2314882,2068972,2238134,2491728,2130445,1745483,1728947,2321510,2209084,1969554,2372688,2854891,2741079,2102631,2175739,2011808,1823824,1840329,2275376,1860657,1674787,1615844,1624998,1672608,1602182,1537208,1472614,1411133,1505882,1560135,1495481,1468643,1487137,1455526,1479663,1485657,1430515,1435015,1466907,1487269,1463322,1465882,1468689,1521677,1519883,1560203,1633696,1518054,1689484,1468929,1415934,1400673,1400262
32768,1421970,1377917,1419337,1442928,1395577,1381174,1396411,1393097,1409008,1412983,1415663,1390117,1390196,1477103,1460803,1437675,1497865,1446511,1421423,1461739,1451273,1426699,1428117,1418879,1395439,1381659,1405605,1363179,1385949,1378111,1393167,1442894,1391519,1390821,1404877,1405803,1433804,1428034,1491347,1440367,1446661,1435833,1436116,1587161,1660960,1519011,1609757,1620978,1641546,1590217,1597429,1605032,1570580,1597029,1595221,1605905,1607855,1661834,1577029,1626397,1602845,1621613,1638882,1552860,1601427,1587655,1579795,1599919,1602426,1603098,1581296,1613834,1608231,1488261,1381755,1410703,1416905,1432836,1403601,1569482,1772545,1555743,1631968,1620488,1596776,1572238,1619130,1635763,1650365,1615701,1625038,1621061,1608443,1640505,1653006,1757385,1677140,1692517,1748786,1746146
65536,2428481,2415366,2460752,2450686,2412102,2407999,2405523,2163603,1703648,1706146,1717221,1672309,1723944,1683930,1674486,1706341,1881494,1820409,1759815,1770583,1774028,2291508,2191996,1731265,1677379,1693215,1694720,2584837,1926754,2491411,1759572,1667644,1711504,1714281,1854838,1925733,1678000,1693630,1720726,1678818,1679006,1713770,1830064,1738189,1718785,2110820,2174240,1724019,2083471,2068901,2153861,2101001,2020352,1761231,3121964,1933547,2242207,2146200,1774261,1661885,1676682,1681812,1691952,1774724,1889066,2221198,1983624,1784610,1757440,1981784,1889802,1732985,1810877,2092135,2208118,2123688,1743320,1743979,1762095,1768785,1762053,1885428,2011462,2354320,1845550,1796587,1770189,1838519,1699937,1750488,1887265,1723763,1677225,1673821,1697189,1674748,1722008,1673372,1680851,1872097
131072,2270479,2239735,2237848,2522065,2327278,2326693,2748670,2546564,2405590,2359443,2244340,2235086,2230755,2291847,2355291,2413817,2323386,2289657,2255498,2257982,2273195,2355307,2381699,2396907,2236331,2233412,2240472,2245101,2349207,2415963,2475835,2339496,2347761,2369961,2237510,2383023,2257702,2241653,2237770,2234957,2296828,2234846,2356698,2283209,2243839,2245820,2258755,2307202,2249560,2248706,2264654,2231566,2227821,2238820,2247155,2244252,2235242,2251650,2233527,2237619,2259172,2267007,2357056,2250511,2235285,2239613,2249546,2233366,2227576,2266788,2300940,2283180,2696330,2626124,2408653,2534952,2384895,2745120,2231956,2232462,2290785,2241167,2252610,2298880,2236380,2231416,2256093,2284433,2241817,2259684,2358330,2303666,2236831,2276903,2251729,2241592,2231323,2288506,2232867,2231342
262144,2354438,2311549,2309678,2365067,2348959,2324702,2330375,2328584,2315188,2326563,2345893,2316454,2313870,2339316,2320144,2316632,2312190,2367223,2346810,2332164,2396851,2316362,2314184,2331346,2335203,2312189,2309638,2339322,2311704,2310314,2347882,2331723,2319925,2359067,2322421,2310269,2313260,2332001,2334153,2315848,2334689,2311644,2315750,2335505,2324025,2338130,2321024,2356964,2350657,2322220,2343589,2319432,2347218,2332875,2311123,2313506,2332468,2362433,2311273,2328037,2372457,2317080,2317799,2343840,2322861,2316243,2315593,2347451,2305380,2311193,2331345,2312001,2318104,2349805,2331896,2329505,2318585,2348707,2328969,2327781,2339512,2330061,2313380,2326976,2314238,2301881,2319115,2341635,2378466,2379454,2366294,2321189,2310547,2345967,2390953,2346739,2335021,2323107,2305215,2319701
524288,2354617,2351618,2362765,2484108,2368731,2475526,4228698,2338223,2314069,2327718,2325212,4476597,3104338,5717088,3623063,5243741,5740598,3297434,3201612,3178298,3651347,6733821,3230904,3156488,7116556,4901816,3299490,3430512,3169324,3037714,3225879,3077693,2756488,3038866,2661032,2511781,2556963,2566463,2527861,3103496,3407608,2582822,2601390,4015114,3770796,4878958,2950324,2779413,2773784,3306903,6232093,3100121,3221289,3532976,6922604,3206024,3130236,3220519,6859192,3371162,3455959,3137307,3037149,2940315,2882500,2950768,2801659,2781531,2878990,2813263,3840330,2829384,2654908,2710290,2640902,2640410,2691236,2568403,2525006,2592260,2565025,2612493,2588628,2646213,6441311,7307306,3090417,3025892,4185580,6817726,3581491,3942076,6041583,3411683,3350652,3293909,7426406,3510713,3385262,3348596
1048576,3524648,3749249,3456986,4351645,5022821,7695390,5702158,3800609,3825657,3793950,5157077,11346559,13260179,5357735,13053993,16177202,11713924,7810174,7442527,3899078,3922834,4001899,5255536,6280833,9407173,4026000,9255942,11783700,14685453,5113849,13358584,13545182,4265472,9246732,6236598,6295971,7125855,16987246,13038296,6287313,13173851,17199445,4811855,7620357,5861893,8257350,3750776,3423121,3528798,5153892,16471656,11051719,13475927,14617645,5179327,13241719,9662379,5400582,4343229,6195448,7737176,6522682,4498662,4218905,3953179,6110148,12333633,6211552,4355597,6932006,14401538,14016897,4106773,13234165,9775886,10306723,5238459,7165192,4857120,3588396,5284168,7197085,16308854,7681008,3392675,3353758,3301735,14036009,13803279,3769920,12872200,8393749,5744252,4244090,4926460,8974559,12541736,8018144,11733946,6560109
2097152,20247326,20664379,23760123,18773454,21545281,18557323,15116472,21584978,13923030,17247729,9296562,18040881,15796538,14303450,15610959,8611251,11067123,12422978,7598116,10609963,11046232,8050791,13724131,15524308,12067878,11990643,9778062,7669365,10972454,12410296,8133780,11043160,10454260,7146366,8918450,12172491,7837773,6936560,7819608,10734975,7448057,6941501,7416281,10552761,8640243,6686556,7299376,10262838,7185378,6706832,6817451,10108309,10143487,6302179,6854319,10427341,7911489,6454992,6573411,11670873,17115707,9180161,11530656,7572273,13157634,14468676,13845195,13895987,13712738,13866583,10540301,11952835,13865114,14079625,13660796,13907838,13836059,13860616,13787437,12842039,11825385,13909028,13877030,13441921,10340693,8817610,6968203,7874966,10875244,8994642,7290302,8061612,10431222,8868861,6780479,8060343,10812155,8337929,6627566,9275879
4194304,8912934,11943031,11734396,17848215,11575434,10146733,10285455,12582926,10356655,9812819,10646156,9825883,9242188,10462742,11577462,9365258,10631973,10490507,9400942,10780999,11316736,10904173,10741420,11080697,9937977,10304525,11142233,11442865,10418141,11617303,11219661,10567230,11281465,10504155,11419639,11391356,10614091,10004936,11342785,10208541,10120509,12354170,10835129,10188986,11252916,10883087,9775435,12066910,16474911,15164980,11656255,10357730,12757111,11421363,10190780,11086383,10647452,9683281,13089198,10617558,9338006,11033925,10802271,9936197,10807387,12130998,9657881,10849019,11126730,9567390,10312605,12345635,9990684,10596128,11018402,10081895,10529455,11049622,11555547,10937534,11071620,10481965,9967401,11226742,11340603,9982992,11371877,10405720,9700090,11083406,10718263,9846079,12072865,11890394,18756676,11799639,10707775,13597314,11133239,10151886
8388608,12049100,11058356,9758287,10443794,11257289,10443648,10657062,12320349,10289514,10449444,11356126,9893880,10114069,12543057,10038841,10204275,11249930,10970482,10238725,12164950,10569042,10027322,11206888,10460771,9756610,11300810,11655207,9781162,11175977,10834026,9781040,10969773,11780262,9915944,10656158,10827228,14949103,15116375,12202088,11222794,11370292,11305421,10532365,10809709,10460907,11060977,10935683,11210277,11230167,14280536,12474079,17778345,11585906,11510593,11786092,11222161,13111212,17150263,16737561,12382415,17992757,12942336,12276708,13082896,12688709,11126466,14035647,11597160,12350197,11508135,11280155,12358240,12924493,10413981,11752177,10960578,16498375,16563918,10512070,12331025,11565903,10511978,12940703,15209002,15715648,14933933,12145002,13196885,11599789,12358845,11682087,11260882,12665354,11620447,11145482,13313872,11561520,11051995,12454809,11406699
16777216,11782054,12846774,11826332,12135265,11655300,11275632,13207320,12649115,10897172,12214792,12513823,21279076,16074552,16282116,15008710,11608742,12779953,11562177,13088182,11667477,11219552,14005452,11510268,11946914,12433883,11256619,12390067,12333586,11347145,12769486,11572349,11109949,12796367,12361114,11517133,12233733,10676723,11685714,11544573,10658728,12392773,11686902,10052815,11544167,10792927,10003155,11993420,11056601,10230520,11018626,16293151,21754036,17199614,17836313,24223059,21584914,25240580,26538523,21455180,19955679,17575904,18649919,15452867,16144018,14813932,17340675,11720379,13059445,11148271,11611576,12687516,12142161,11682856,12501798,11197296,11520054,12284850,12512917,12419749,11104583,10453278,11870735,10947453,10702842,12676481,10703022,10336204,11414489,10488964,10283161,12437891,10724921,10017130,11411106,10562305,10114582,12122309,11068978,10055429,11110067
33554432,10879168,10094392,11112078,10949412,10050638,10826504,12007591,10292257,10741016,11034774,10194662,11681179,12266067,10120098,10748930,11374167,10076468,10573382,12068943,11160926,12420898,14882519,13874848,15215826,13607837,12327585,12289400,12244634,12717181,11099971,12859653,12908726,10912999,12215377,12497961,11235734,13118720,11789812,11669140,12712595,10606708,11686628,13744473,10623907,12400218,12214773,11010669,13261225,13021660,12702015,12752677,11095629,11796935,13952834,10902760,12152425,12331579,10507661,12210556,11828652,11751093,11977385,11398882,11728040,13731303,10610430,12283235,12267153,11167113,11793897,12428653,12344664,11767706,12213794,11561197,11765829,12869232,11909047,12954690,11111543,15077295,14525696,14175566,13337650,10903360,12372915,11502770,11707219,12585342,12112450,11783565,12480902,11715514,13189919,12169730,10580806,12214872,11091512,10535877,13263293

