2048,8,1738450,1351280,1260598,1295826,1325394,1223813,1261833,1252262,1352071,1331836,1.27729063034058,0.140331844886396
4096,16,1279628,1147156,1275962,1412619,1643792,1532952,1305575,1161540,1262225,1318161,1.2721643447876,0.148738640543289
8192,32,1483118,1389375,1144988,1140025,1101739,1401404,1229048,1110810,1073058,1162072,1.166881275177,0.139893824915703
16384,64,2692516,2449092,1975194,1930247,1936875,2545878,1974851,2236468,2754294,2216635,2.16598987579346,0.305842069363718
32768,128,2485236,1909457,2668838,1902384,2086591,2965862,2013516,1970489,1904142,2090916,2.09783849716187,0.356895624705243
65536,256,3217991,2821669,2765251,2623342,2377803,2229461,2724350,2370895,2963570,2677178,2.55313014984131,0.282930928575362
131072,512,3171177,3799850,3705760,4622742,3463772,3264611,2879718,2837666,2860749,2782662,3.18419523239136,0.554687953966927
262144,1024,2967510,5586753,6270420,3700766,3499817,3046585,3043842,2975301,2857910,3081445,3.53148927688599,1.15573664217258
524288,2048,3833033,3522290,3319559,2890052,4770826,3736003,6030703,3624698,5446146,5611107,4.08023996353149,1.0442745357687
1048576,4096,14246793,6063099,5452857,4587345,3927999,4102081,4070980,4411700,4993529,8341283,5.74089679718018,3.03146313692812
2097152,8192,17324531,11053072,7775695,7450367,9169265,12005640,7236038,7184077,10249242,8764889,9.36630401611328,2.97794406781139
4194304,16384,19395365,10335208,10929392,11029708,9950314,10463230,12147135,9275009,9987663,11152342,10.9353414535522,2.7618695728426
8388608,32768,15253872,14845198,14446007,12656740,14106148,14523208,14160274,14136889,14320215,14347512,13.6180937767029,0.640594245295405
16777216,65536,13875484,14143483,12109424,11458244,10505521,10008081,11666545,11342368,10101632,11910138,11.1695213317871,1.34664755900897
33554432,131072,10419167,12110739,10963896,10110188,11213171,10892676,10096859,12009138,12337687,10396402,10.5428622245789,0.80286665838632
