2,467,104,73,77,62,55,57,59,56,54,53,70,57,54,55,54,114,57,55,54,56,53,54,55,52,55,52,64,58,53,55,50,113,54,53,53,53,55,54,53,52,57,55,64,54,57,54,51,122,57,54,55,53,55,54,56,55,55,56,64,54,56,57,53,131,53,298,54,55,53,57,56,54,54,55,68,55,54,54,54,174,56,52,59,53,56,54,55,53,53,56,69,54,55,53,54,391,51,54,55
4,62,57,57,66,63,78,55,58,59,57,55,71,64,55,118,57,60,59,57,69,61,57,113,55,60,57,61,68,59,59,60,60,56,59,59,72,61,59,121,63,57,60,56,70,65,297,59,60,58,55,58,68,61,58,111,58,60,57,59,71,65,59,118,58,60,58,58,68,61,55,127,57,59,57,56,68,59,55,118,56,60,60,56,69,66,57,115,56,58,55,58,71,63,56,111,60,56,59,55,69
8,71,140,64,75,69,148,68,77,65,154,64,81,63,163,68,81,56,140,60,74,71,158,62,77,70,416,143,70,74,162,139,63,61,146,64,76,67,143,64,81,58,139,66,74,66,146,63,72,70,134,62,75,67,155,66,81,68,133,66,84,56,162,63,71,66,198,62,77,62,147,63,70,76,163,166,116,59,141,63,70,83,142,66,76,71,148,62,77,84,157,62,77,61,136,60,77,70,151,63,77
16,189,194,201,171,200,147,185,191,212,201,219,184,179,184,564,294,297,162,508,206,228,202,228,222,224,288,230,195,231,206,193,176,213,553,228,209,210,185,232,177,193,236,237,185,227,167,206,283,308,159,192,228,225,207,194,188,198,177,247,179,217,218,233,199,216,197,185,206,232,171,210,245,214,348,311,172,195,178,192,174,176,166,221,219,206,202,204,194,190,212,256,177,226,159,222,168,178,206,244,218
32,334,344,335,458,342,812,342,479,343,404,362,452,308,352,338,313,504,371,373,384,315,648,337,369,387,319,387,435,327,321,331,341,333,374,362,410,484,339,361,354,547,368,341,369,328,386,358,372,331,344,371,641,384,348,351,356,396,361,331,377,332,433,357,421,703,393,600,308,405,371,394,401,412,360,368,395,381,373,383,386,384,621,363,375,347,341,384,367,381,387,348,458,388,460,330,346,374,329,364,366
64,873,485,518,730,454,477,636,426,784,508,444,492,624,434,662,541,643,445,757,624,467,482,525,682,469,470,538,556,652,674,680,764,814,448,612,447,650,688,437,453,564,572,597,523,461,482,575,555,798,378,583,479,570,522,484,592,469,669,621,613,478,543,470,436,848,845,521,426,595,696,415,614,465,418,739,463,466,468,711,477,693,595,575,582,508,643,661,447,619,575,717,491,453,548,661,620,718,415,483,602
128,476,625,518,814,477,693,686,684,712,496,862,523,665,604,698,593,702,634,551,572,625,554,730,553,542,635,608,499,652,723,952,660,581,589,593,701,736,608,519,557,582,530,649,454,717,729,550,608,674,587,928,787,620,652,675,491,544,626,604,657,752,527,844,566,674,467,762,631,621,987,514,589,560,675,950,514,728,642,667,777,465,528,727,553,613,607,543,645,797,661,590,551,457,666,787,453,612,595,871,609
256,504,784,762,538,534,705,651,595,1089,803,623,647,605,634,653,537,622,627,576,539,723,613,661,614,556,658,665,704,904,544,640,579,595,639,686,530,512,563,815,706,549,602,565,19600,4216,5026,4229,6156,862,643,922,914,836,926,871,963,816,1119,1489,707,1015,712,756,605,697,509,596,889,498,538,1220,556,662,588,519,653,518,628,598,647,1059,916,819,749,1127,776,574,589,486,525,585,575,716,621,631,564,473,683,671,500
512,485,471,482,481,622,493,725,528,529,521,622,446,506,500,491,465,546,505,810,722,508,512,475,527,465,507,631,500,602,549,442,476,475,502,632,931,608,496,505,521,496,482,433,579,638,484,518,482,480,484,468,459,464,531,493,483,529,500,1057,722,859,448,496,480,481,481,880,814,462,467,478,491,474,614,533,455,674,647,502,461,511,457,484,476,530,507,474,581,526,554,509,514,576,419,490,469,469,496,535,594
1024,837,760,745,442,559,816,512,518,439,472,489,754,501,549,667,577,655,508,502,536,568,753,566,480,469,612,644,485,598,469,502,639,814,441,628,619,522,493,457,642,508,579,511,877,552,575,548,702,588,495,556,519,509,463,621,658,482,747,494,507,539,572,513,475,578,473,601,449,639,442,615,711,562,744,586,566,582,592,740,621,592,976,739,904,655,687,718,492,695,505,605,552,929,816,796,779,720,724,787,714
2048,529,758,625,659,767,775,802,568,516,446,735,574,718,500,853,470,502,611,813,929,876,696,876,598,572,553,497,888,729,647,589,483,722,486,497,911,1128,555,632,541,517,485,470,795,500,534,600,485,499,631,470,651,551,507,766,489,612,517,485,729,629,873,843,589,845,663,1065,449,478,504,769,465,485,483,502,640,875,456,660,590,827,571,507,853,607,601,733,657,1091,721,1075,931,829,724,914,523,649,520,707,513

